Date,GPR,Inflation_Pct,SP500_Return,Oil_Return,Oil_Price,GPR_12m_Avg,SP500_Index,Roll_Corr_GPR_CPI,Roll_Corr_GPR_SP500,Roll_Corr_GPR_Oil,GPR_Tier,Crisis_Label
1989-10-01,69.52467346191406,4.587155963302747,-2.517545094824758,2.584286793853652,20.097727272727273,87.80551020304362,160.71394244659675,-0.1927929311940237,-0.09079049726140526,-0.04393123714891161,Normal,
1989-11-01,92.8287124633789,4.655029093931851,1.6541324259951473,-1.2032115797806164,19.85590909090909,89.80803489685059,163.3723638817011,-0.11400650197178785,-0.09967982569652457,-0.05134805965227647,Normal,
1989-12-01,112.55352783203125,4.639602319801162,2.1416815142801804,6.265595311677319,21.1,91.65426890055339,166.87127959839802,-0.13293162414369342,-0.09609959690900456,-0.00864833443434704,High,
1990-01-01,81.5440444946289,5.198019801980203,-6.881722621461728,8.356311934510984,22.86318181818182,91.01239013671875,155.3876610015524,-0.16925199868129845,-0.07783406810205203,-0.060025451082602224,Normal,
1990-02-01,77.40721130371094,5.263157894736836,0.8539042758088922,-3.281178552257502,22.113,89.82811164855957,156.7145228829241,-0.19192973008055292,-0.08746925349967423,-0.021557141842069402,Normal,
1990-03-01,67.5919418334961,5.237315875613735,2.4254986404143253,-7.802074468741127,20.387727272727275,88.14962577819824,160.5156315047812,-0.30913830008861004,-0.09853407579515001,0.052515725578704535,Normal,
1990-04-01,81.64384460449219,4.711616571892785,-2.688714062127162,-9.624551312063867,18.4255,87.9883550008138,156.19982514859993,-0.26736401989707054,-0.07438246127296796,0.07265915452640308,Normal,
1990-05-01,86.40711975097656,4.365400161681476,9.198919079889457,-1.2263143222954298,18.199545454545454,86.5365727742513,170.56852066694844,-0.25015149056728797,-0.08669225533173484,0.06522543325324895,Normal,
1990-06-01,79.68110656738281,4.673650282030639,-0.8886365681221697,-8.265631485492108,16.695238095238096,85.72153536478679,169.05278641859692,-0.2558967817468617,-0.08528609141361768,0.08871217111661413,Normal,
1990-07-01,85.78742980957031,4.819277108433728,-0.5223158411739148,10.535056785769846,18.454090909090908,85.80772908528645,168.1697969351867,-0.2446611191324862,-0.09799063331919597,0.05327480719468488,Normal,
1990-08-01,250.45108032226562,5.702811244979911,-9.431418479162911,47.97473058342625,27.307391304347828,97.58054478963216,152.30899963067074,0.2810454172091586,-0.30260921241949085,0.7138405293935882,Very High,Gulf War
1990-09-01,188.66053771972656,6.169871794871806,-5.1184306456431905,22.704873660579228,33.5075,106.17343584696452,144.51316911750192,0.4678649990516645,-0.3295648813185629,0.7698181604123248,High,
1990-10-01,143.85256958007812,6.379585326953752,-0.6698212301042394,7.556711832847296,36.039565217391306,112.36742719014485,143.54518923045646,0.5127830508155027,-0.41180679913773566,0.7664588872562531,High,
